,Ingredients,Rate,Category,Information
174,isononyl isononanoate,GOOD,Emollients,
175,isopropyl isostearate,GOOD,Emollients,
176,isopropyl lanolate,GOOD,"Thickeners/Emulsifiers, Texture Enhancer, Emollients",
177,isopropyl myristate,GOOD,"Texture Enhancer, Emollients",
178,isopropyl palmitate,GOOD,"Emollients, Texture Enhancer",
179,isopropyl titanium triisostearate,GOOD,"Emulsifiers, Texture Enhancer, Emollients",
180,Japan wax,GOOD,"Thickeners/Emulsifiers, Emollients, Texture Enhancer",
181,jojoba butter,BEST,"Antioxidants, Emollients, Plant Extracts",
182,jojoba esters,BEST,"Plant Extracts, Emollients",
183,jojoba oil,BEST,"Skin-Restoring, Plant Extracts, Skin-Replenishing, Emollients",
184,jojoba wax,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
185,kelp extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Emollients, Plant Extracts",
186,kukui nut oil,BEST,"Plant Extracts, Emollients",
187,Laminaria longicruris,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Thickeners/Emulsifiers, Emollients",
188,Laminaria sacharrina,GOOD,"Antioxidants, Emollients, Plant Extracts, Thickeners/Emulsifiers",
189,lanolin,GOOD,"Emollients, Skin-Replenishing",
190,lanolin alcohol,GOOD,"Emollients, Skin-Replenishing",
191,lauryl lactate,GOOD,"Fragrance: Synthetic and Fragrant Plant Extracts, Emollients",
192,lauryl laurate,BEST,"Emollients, Texture Enhancer",
193,lecithin,BEST,"Emollients, Skin-Replenishing",
194,linoleic acid,BEST,"Skin-Soothing, Antioxidants, Skin-Restoring, Emollients",
195,lipid,BEST,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
196,lupine,GOOD,"Antioxidants, Plant Extracts, Emollients",
197,lupine oil,AVERAGE,"Antioxidants, Emollients, Plant Extracts",
198,Lupinus albus extract,GOOD,"Antioxidants, Emollients, Plant Extracts",
199,macadamia nut oil,GOOD,"Plant Extracts, Emollients",
200,Mangifera indica (mango) seed butter,BEST,"Plant Extracts, Skin-Replenishing, Emollients",
201,Mastocarpus stellatus,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients",
202,meadowfoam seed oil,GOOD,"Plant Extracts, Emollients",
203,methicone,GOOD,"Silicones, Emollients, Slip Agents",
204,methyl gluceth-20 benzoate,GOOD,"Texture Enhancer, Emollients",
205,methyl glucose sesquistearate,GOOD,"Emollients, Skin-Softening",
206,methylsilanol mannuronate,GOOD,"Silicones, Emollients, Texture Enhancer",
207,methylsilanol PEG-7 glyceryl cocoate,GOOD,"Silicones, Emollients, Texture Enhancer",
208,methyl trimethicone,GOOD,"Silicones, Slip Agents, Emollients",
209,Microcystis aeruginosa,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients",
210,milk protein,GOOD,"Emollients, Skin-Replenishing",
211,mineral oil,GOOD,Emollients,
212,murumuru seed butter,GOOD,"Emollients, Plant Extracts",
213,myristyl alcohol,GOOD,"Emollients, Thickeners/Emulsifiers",
214,myristyl myristate,GOOD,"Texture Enhancer, Emollients",
215,neopentyl glycol dicaprylate/dicaprate,GOOD,"Texture Enhancer, Emollients",
216,octyldodecanol,GOOD,"Texture Enhancer, Emollients",
217,octyldodecyl myristate,GOOD,"Texture Enhancer, Skin-Softening, Emollients",
218,octyldodecyl neopentanoate,GOOD,"Emollients, Skin-Softening",
219,octyl palmitate,GOOD,"Texture Enhancer, Emollients",
220,octyl stearate,GOOD,"Texture Enhancer, Emollients",
221,Oenothera biennis oil,BEST,"Skin-Soothing, Emollients, Plant Extracts",
222,Olea europaea fruit oil,GOOD,"Antioxidants, Emollients, Plant Extracts, Skin-Replenishing",
223,Olea europaea oil unsaponifiables,BEST,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients",
224,olive oil/olive fruit oil,GOOD,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients",
225,Orbignya martiana,GOOD,"Plant Extracts, Emollients",
226,Orbignya oleifera,GOOD,"Plant Extracts, Emollients",
227,Oryza sativa oil,GOOD,"Plant Extracts, Emollients",
228,Padina pavonica extract,GOOD,"Antioxidants, Emollients, Plant Extracts",
229,Palmaria palmata extract,GOOD,"Antioxidants, Plant Extracts, Emollients",
230,palmitic acid,GOOD,"Emollients, Skin-Replenishing, Cleansing Agents",
231,palm kernel acid,GOOD,"Emollients, Cleansing Agents",
232,palm oil,BEST,"Antioxidants, Skin-Replenishing, Emollients",
233,Paraffinum liquidum,GOOD,Emollients,
234,peanut oil,GOOD,"Plant Extracts, Emollients",
235,pecan oil,GOOD,"Plant Extracts, Emollients",
236,pectin,GOOD,"Plant Extracts, Texture Enhancer, Emollients",
237,PEG/PPG-17/6 copolymer,GOOD,"Cleansing Agents, Emollients",
238,PEG/PPG-18/18 dimethicone,GOOD,"Silicones, Emollients, Cleansing Agents",
239,PEG/PPG-20/15 dimethicone,GOOD,"Silicones, Cleansing Agents, Emollients",
240,PEG-100 stearate,GOOD,"Emollients, Cleansing Agents",
241,PEG-10 dimethicone,GOOD,"Silicones, Emollients, Cleansing Agents",
242,PEG-10 dimethicone/vinyl dimethicone crosspolymer,GOOD,"Silicones, Cleansing Agents, Emollients",
243,PEG-10 rapeseed sterol,GOOD,"Cleansing Agents, Emollients",
244,PEG-12 dimethicone,GOOD,"Silicones, Cleansing Agents, Emollients",
245,PEG-20 methyl glucose sesquistearate,GOOD,"Cleansing Agents, Emollients",
246,PEG-40 hydrogenated castor oil,GOOD,"Plant Extracts, Emollients, Texture Enhancer",
247,PEG-60 almond glycerides,GOOD,Emollients,
248,PEG-60 hydrogenated castor oil,GOOD,"Plant Extracts, Emollients, Cleansing Agents",
249,PEG-7 glyceryl cocoate,GOOD,"Cleansing Agents, Emollients",
250,PEG-8,GOOD,"Cleansing Agents, Emollients",
251,PEG 90M,GOOD,"Cleansing Agents, Emollients",
252,PEG compound,GOOD,"Cleansing Agents, Emollients",
253,pentaerythrityl tetraoctanoate,GOOD,"Texture Enhancer, Emollients",
254,Persea gratissima oil,BEST,"Antioxidants, Emollients",
255,petrolatum,GOOD,"Skin-Soothing, Emollients",
256,phenyl trimethicone,GOOD,"Silicones, Emollients",
257,phosphatidylcholine,BEST,"Skin-Restoring, Skin-Replenishing, Emollients",
258,phosphatidylethanolamine,BEST,"Emollients, Skin-Replenishing",
259,phospholipid,BEST,"Emollients, Skin-Replenishing",
260,phytosterol,BEST,"Emollients, Skin-Replenishing, Skin-Soothing",
261,phytosteryl/octyldodecyl lauroyl glutamate,BEST,Emollients,
262,pistachio seed oil,GOOD,"Plant Extracts, Emollients",
263,Pistacia vera seed oil,GOOD,"Plant Extracts, Emollients",
264,plum seed oil,BEST,"Antioxidants, Plant Extracts, Emollients",
265,polyethylene,GOOD,"Thickeners/Emulsifiers, Emollients, Scrub Agents",
266,polyglycerol monostearate,GOOD,"Texture Enhancer, Emollients",
267,polyglyceryl 2 triisostearate,GOOD,"Texture Enhancer, Emollients",
268,polyglyceryl-3 methylglucose distearate,GOOD,"Texture Enhancer, Emollients",
269,polyglyceryl-4 isostearate,GOOD,"Cleansing Agents, Emollients",
270,polyglyceryl-6 isostearate,GOOD,Emollients,
271,polymethylsilsesquioxane,GOOD,"Silicones, Emollients, Texture Enhancer",
272,Pongamia glabra seed oil,BEST,"Antioxidants, Emollients",
273,PPG-3 benzyl ether myristate,GOOD,Emollients,
274,propylene glycol isostearate,GOOD,"Texture Enhancer, Emollients",
275,propylene glycol laurate,GOOD,Emollients,
276,Prunus amygdalus dulcis,GOOD,"Plant Extracts, Emollients",
277,Prunus armeniaca,GOOD,"Plant Extracts, Emollients",
278,Prunus domestica seed oil,BEST,"Antioxidants, Plant Extracts, Emollients",
279,Prunus dulcis,GOOD,Emollients,
280,pumpkin seed extract,BEST,"Antioxidants, Skin-Replenishing, Texture Enhancer, Emollients",
281,quinoa oil,GOOD,"Plant Extracts, Emollients",
282,rapeseed oil,BEST,"Antioxidants, Emollients, Plant Extracts",
283,red algae,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
284,rice bran oil,GOOD,"Plant Extracts, Emollients",
285,rice oil,GOOD,"Plant Extracts, Emollients",
286,Ricinus communis,GOOD,"Plant Extracts, Emollients",
287,Rosa canina,GOOD,"Antioxidants, Emollients, Plant Extracts",
288,Rosa centifolia,GOOD,"Antioxidants, Emollients, Plant Extracts",
289,Rosa centifolia flower,GOOD,"Antioxidants, Emollients, Plant Extracts",
290,Rosa eglanteria,GOOD,"Antioxidants, Emollients, Plant Extracts",
291,Rosa mosqueta,GOOD,"Antioxidants, Plant Extracts, Emollients",
292,Rosa rubiginosa,GOOD,"Antioxidants, Plant Extracts, Emollients",
293,rose hip,GOOD,"Antioxidants, Plant Extracts, Emollients",
294,rose hip oil,GOOD,"Antioxidants, Plant Extracts, Emollients",
295,rutin,BEST,"Antioxidants, Emollients",
296,saccharide isomerate,GOOD,"Emollients, Skin-Replenishing",
297,safflower seed oil,BEST,"Antioxidants, Emollients, Plant Extracts",
298,Salvia hispanica (chia) seed oil,BEST,"Emollients, Skin-Replenishing, Skin-Restoring",
299,Sclerocarya birrea,BEST,"Emollients, Skin-Replenishing",
300,Seamollient,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients",
301,seaweed,GOOD,"Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
302,sesame oil,GOOD,"Plant Extracts, Emollients",
303,Sesamum indicum,GOOD,"Plant Extracts, Emollients",
304,sesquioleate,GOOD,"Thickeners/Emulsifiers, Emollients",
305,shea butter,BEST,"Plant Extracts, Emollients, Antioxidants",
306,silicone,GOOD,"Silicones, Slip Agents, Emollients",
307,siloxane,GOOD,"Silicones, Slip Agents, Emollients",
308,Simmondsia chinensis,BEST,"Plant Extracts, Emollients, Skin-Replenishing",
309,sodium PEG-7 olive oil carboxylate,GOOD,"Cleansing Agents, Emollients",
310,sodium polyacrylate,GOOD,"Thickeners/Emulsifiers, Film-Forming/Holding Agents, Emollients, Absorbent",
311,Sonojell,GOOD,"Skin-Soothing, Emollients",
312,soy oil,BEST,"Skin-Soothing, Antioxidants, Plant Extracts, Emollients",
313,spirulina,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients",
314,squalane,BEST,"Hydration, Antioxidants, Skin-Replenishing, Emollients",
315,squalene,BEST,"Antioxidants, Skin-Replenishing, Emollients",
316,stearates,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
317,stearic acid,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
318,stearyl alcohol,GOOD,"Thickeners/Emulsifiers, Emollients",
319,stearyl methicone,GOOD,"Silicones, Emollients, Slip Agents",
320,stearyl stearate,GOOD,"Emollients, Texture Enhancer",
321,sunflower seed oil,BEST,"Plant Extracts, Emollients",
322,sweet almond,GOOD,"Emollients, Plant Extracts",
323,sweet almond oil,GOOD,Emollients,
324,synthetic beeswax,GOOD,"Thickeners/Emulsifiers, Emollients",
325,Theobroma cacao seed butter,BEST,"Plant Extracts, Emollients",
326,tribehenin,GOOD,"Thickeners/Emulsifiers, Skin-Replenishing, Emollients",
327,tribehenin PEG-20 esters,GOOD,"Emulsifiers, Cleansing Agents, Emollients",
328,tricaprylin,GOOD,Emollients,
329,tridecyl stearate,GOOD,"Thickeners/Emulsifiers, Emollients",
330,triethoxysilylethyl polydimethylsiloxyethyl hexyl dimethicone,GOOD,Emollients,
331,triglyceride,GOOD,"Thickeners/Emulsifiers, Emollients",
332,trihydroxystearin,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
333,triisocetyl citrate,GOOD,Emollients,
334,trilaurin,GOOD,"Thickeners/Emulsifiers, Emollients",
335,trimethylsiloxysilicate,GOOD,"Silicones, Slip Agents, Skin-Softening, Emollients",
336,trioctanoin,GOOD,"Thickeners/Emulsifiers, Emollients",
337,trioctyldodecyl citrate,GOOD,"Emollients, Skin-Softening",
338,Triticum vulgare oil,GOOD,"Plant Extracts, Skin-Softening, Emollients",
339,vitamin F,BEST,"Antioxidants, Skin-Replenishing, Vitamins, Emollients, Skin-Restoring, Hydration",
340,Vitis vinifera,BEST,"Antioxidants, Emollients, Plant Extracts",
341,walnut oil,GOOD,"Plant Extracts, Emollients",
342,wheat germ glycerides,GOOD,"Thickeners/Emulsifiers, Emollients, Texture Enhancer",
343,wheat germ oil,GOOD,"Plant Extracts, Emollients",
344,Ximenia americana oil,GOOD,"Plant Extracts, Antioxidants, Emollients",
