,Ingredients,Rate,Category,Information
114,Codium tomentosum extract,GOOD,"Antioxidants, Plant Extracts, Texture Enhancer, Emollients",
115,coenzyme Q10,BEST,"Skin-Soothing, Antioxidants",
116,Coffea arabica (coffee) seed oil,BEST,"Antioxidants, Plant Extracts",
117,Coffea arabica seed extract,BEST,"Antioxidants, Plant Extracts",
118,copper gluconate,GOOD,Antioxidants,
119,copper peptides,GOOD,Antioxidants,
120,Corallina officinalis extract,GOOD,"Antioxidants, Plant Extracts, Emollients, Texture Enhancer",
121,Cornus extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
122,coumarin,GOOD,"Antioxidants, Plant Extracts",
123,cranberry seed extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
124,cranberry seed oil,BEST,"Antioxidants, Plant Extracts",
125,cucumber extract,GOOD,"Antioxidants, Plant Extracts",
126,Cucumis melo (melon) fruit extract,BEST,"Antioxidants, Plant Extracts",
127,Cucumis sativus extract,GOOD,"Antioxidants, Plant Extracts",
128,Cucurbita pepo seed extract,BEST,"Antioxidants, Plant Extracts",
129,Cucurbitea peponis,BEST,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts, Vitamins, Skin-Restoring",
130,Curcuma longa root,BEST,"Antioxidants, Plant Extracts",
131,curcumin,BEST,"Skin-Soothing, Antioxidants",
132,Cymbopogon martini,POOR,"Antioxidants, Plant Extracts",
133,d-alpha-tocopherol,BEST,"Antioxidants, Vitamins",
134,Daucus carota,POOR,"Antioxidants, Plant Extracts",
135,diethylhexyl syringylidenemalonate,GOOD,Antioxidants,
136,disodium rutinyl disulfate,GOOD,Antioxidants,
137,dogwood,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
138,dulse,GOOD,"Antioxidants, Emollients, Plant Extracts",
139,Dunaliella salina extract,BEST,"Plant Extracts, Antioxidants",
140,durian,GOOD,"Antioxidants, Plant Extracts",
141,Durvillaea antarctica extract,GOOD,"Antioxidants, Plant Extracts, Emollients",
142,Elaeis guineensis,BEST,"Antioxidants, Emollients, Plant Extracts",
143,elderberry,GOOD,"Antioxidants, Plant Extracts",
144,ellagic acid,BEST,Antioxidants,
145,Enteromorpha compressa extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts",
146,epigallocatechin gallate,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
147,Equisetum arvense,POOR,"Antioxidants, Plant Extracts, Sensitizing",
148,ergocalciferol,GOOD,"Antioxidants, Vitamins",
149,ergothioneine,BEST,"Skin-Soothing, Antioxidants",
150,Eriobotrya japonica,BEST,"Antioxidants, Plant Extracts",
151,ethyl vanillin,GOOD,Antioxidants,
152,Euterpe oleracea fruit extract,BEST,"Antioxidants, Plant Extracts",
153,faex,GOOD,Antioxidants,
154,farnesol,AVERAGE,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts",
155,farnesyl acetate,AVERAGE,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
156,fennel seed extract,POOR,"Antioxidants, Plant Extracts, Sensitizing",
157,ferulic acid,BEST,"Antioxidants, Plant Extracts",
158,Filipendula glaberrima,BEST,"Antioxidants, Plant Extracts",
159,flavonoid,BEST,Antioxidants,
160,flax,BEST,"Plant Extracts, Antioxidants",
161,flaxseed oil,BEST,"Antioxidants, Plant Extracts",
162,Foeniculum vulgare extract,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
163,folic acid,GOOD,"Antioxidants, Vitamins",
164,Fucus vesiculosus extract,BEST,"Antioxidants, Plant Extracts",
165,Fu ling,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
166,galactoarabinan,GOOD,"Antioxidants, Hydration, Plant Extracts",
167,gamma linolenic acid (GLA),BEST,"Antioxidants, Emollients, Skin-Restoring",
168,Ganoderma lucidum extract,AVERAGE,"Antioxidants, Plant Extracts",
169,Gardenia florida extract,POOR,"Antioxidants, Sensitizing, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
170,Gellidiela acerosa extract,GOOD,"Antioxidants, Emollients, Plant Extracts",
171,genistein,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
172,Gentiana lutea (Gentian) root extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
173,geranium extract,BEST,"Antioxidants, Plant Extracts",
174,Geranium pretense,POOR,"Antioxidants, Plant Extracts, Sensitizing",
175,ginger extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
176,ginger oil,POOR,"Antioxidants, Sensitizing, Plant Extracts",
177,Ginkgo biloba leaf extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
178,ginseng,BEST,"Antioxidants, Plant Extracts",
179,GLA,BEST,"Antioxidants, Emollients, Skin-Restoring",
180,glucosyl hesperidin,BEST,"Antioxidants, Plant Extracts",
181,glutathione,BEST,"Antioxidants, Skin-Restoring",
182,glyceryl ascorbate,BEST,Antioxidants,
183,Glycine soja oil,BEST,"Plant Extracts, Emollients, Antioxidants",
184,glycyrrhetinic acid,BEST,"Antioxidants, Skin-Soothing",
185,goji fruit extract,GOOD,"Antioxidants, Plant Extracts",
186,gotu kola,BEST,"Plant Extracts, Antioxidants",
187,grape seed extract,BEST,"Antioxidants, Plant Extracts",
188,grape seed oil,BEST,"Antioxidants, Plant Extracts, Emollients",
189,green tea,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
190,gromwell,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
191,guava,BEST,"Antioxidants, Plant Extracts",
192,Haematococcus pluvialis extract,BEST,"Antioxidants, Plant Extracts",
193,Hamamelis virginiana,POOR,"Antioxidants, Sensitizing, Plant Extracts",
194,hamamelitannin,POOR,"Antioxidants, Sensitizing",
195,Haslea ostrearia extract,GOOD,"Antioxidants, Emollients, Texture Enhancer, Thickeners/Emulsifiers, Plant Extracts",
196,hesperidin,BEST,"Antioxidants, Plant Extracts",
197,hesperidin methyl chalcone,GOOD,"Antioxidants, Plant Extracts",
198,hexylresorcinol,AVERAGE,Antioxidants,
199,hibiscus,GOOD,"Antioxidants, Skin-Restoring, Plant Extracts",
200,Himanthalia elongate extract,GOOD,"Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",
201,Hippophae rhamnoides,GOOD,"Antioxidants, Plant Extracts",
202,histidine,GOOD,Antioxidants,
203,honey,BEST,"Skin-Soothing, Vitamins, Antioxidants",
204,honey extract,BEST,"Skin-Soothing, Antioxidants, Vitamins",
205,hops,AVERAGE,"Antioxidants, Plant Extracts",
206,Hordeum vulgare extract,AVERAGE,"Antioxidants, Plant Extracts",
207,horsetail extract,AVERAGE,"Antioxidants, Plant Extracts",
208,Huang qi,GOOD,"Antioxidants, Plant Extracts",
209,Humulus lupulus extract,AVERAGE,"Plant Extracts, Antioxidants",
210,hyaluronic acid,BEST,"Antioxidants, Skin-Replenishing, Skin-Restoring",
211,hydrogenated olive oil,BEST,"Antioxidants, Plant Extracts, Emollients",
212,hydrogenated palm glycerides,GOOD,"Antioxidants, Skin-Replenishing, Emollients",
213,hydrogenated soybean oil,BEST,"Antioxidants, Emollients",
214,hydrolyzed acacia macrostachya seed extract,GOOD,"Antioxidants, Plant Extracts",
215,hydrolyzed silk,GOOD,"Antioxidants, Slip Agents",
216,hydrolyzed soy protein,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
217,hydroquinone,BEST,"Skin-Restoring, Antioxidants",
218,Hypericum extract,GOOD,"Antioxidants, Sensitizing, Plant Extracts",
219,idebenone,BEST,Antioxidants,
220,Ilex paraguariensis,BEST,"Skin-Soothing, Antioxidants",
221,Illicium vernum,POOR,"Antioxidants, Sensitizing, Fragrance: Synthetic and Fragrant Plant Extracts",
222,Irish moss extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Emollients, Texture Enhancer",
223,isoflavone,BEST,"Antioxidants, Plant Extracts",
224,isoleucine,GOOD,"Antioxidants, Skin-Replenishing",
225,jojoba butter,BEST,"Antioxidants, Emollients, Plant Extracts",
226,jujube fruit extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants",
227,kelp extract,GOOD,"Antioxidants, Thickeners/Emulsifiers, Emollients, Plant Extracts",
228,Kigelia africana extract,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts",
229,kiwi fruit extract,AVERAGE,"Antioxidants, Plant Extracts, Sensitizing",
230,kojic acid,GOOD,Antioxidants,
231,kojic dipalmitate,GOOD,Antioxidants,
232,kudzu root,BEST,"Antioxidants, Plant Extracts",
233,lady's thistle (milk thistle) extract,BEST,"Antioxidants, Plant Extracts, Skin-Restoring",
234,Laminaria digitata,GOOD,"Antioxidants, Thickeners/Emulsifiers, Plant Extracts, Texture Enhancer",
235,Laminaria longicruris,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Thickeners/Emulsifiers, Emollients",
236,Laminaria sacharrina,GOOD,"Antioxidants, Emollients, Plant Extracts, Thickeners/Emulsifiers",
237,Lamium album flower extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
238,lappa extract,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants",
239,Larrea divaricata extract,GOOD,"Antioxidants, Plant Extracts",
240,Larrea tridentata,GOOD,"Antioxidants, Plant Extracts",
241,L-ascorbic acid,BEST,"Skin-Soothing, Vitamins, Antioxidants",
242,Laurus nobilis,POOR,"Antioxidants, Fragrance: Synthetic and Fragrant Plant Extracts, Plant Extracts",
243,L-cysteine,GOOD,Antioxidants,
244,lemon juice,POOR,"Antioxidants, Sensitizing",
245,lentil fruit extract,GOOD,"Antioxidants, Plant Extracts, Skin-Softening",
246,Lentinus edodes extract,AVERAGE,"Plant Extracts, Sensitizing, Antioxidants",
247,Leontopodium alpinum extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
248,Leptospermum scoparium oil,GOOD,"Plant Extracts, Antioxidants",
249,licorice extract,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
250,linden flower extract,BEST,"Antioxidants, Plant Extracts",
251,linoleic acid,BEST,"Skin-Soothing, Antioxidants, Skin-Restoring, Emollients",
252,Lithospermum erythrorhizon,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
253,loquat extract,BEST,"Antioxidants, Plant Extracts",
254,lotus seed extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
255,lupine,GOOD,"Antioxidants, Plant Extracts, Emollients",
256,lupine oil,AVERAGE,"Antioxidants, Emollients, Plant Extracts",
257,Lupinus albus extract,GOOD,"Antioxidants, Emollients, Plant Extracts",
258,lutein,BEST,Antioxidants,
259,Lycium barbarum fruit extract,GOOD,"Antioxidants, Skin-Softening",
260,lycopene,BEST,Antioxidants,
261,lysine,GOOD,"Antioxidants, Skin-Replenishing",
262,madecassoside,BEST,"Antioxidants, Plant Extracts",
263,magnesium ascorbyl palmitate,GOOD,"Antioxidants, Vitamins",
264,magnesium ascorbyl phosphate,BEST,"Antioxidants, Vitamins",
265,Mahonia aquifolium root extract,GOOD,"Antioxidants, Plant Extracts",
266,Malva sylvestris extract,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
267,manganese gluconate,AVERAGE,Antioxidants,
268,Mangifera indica root,GOOD,"Antioxidants, Plant Extracts",
269,manuka oil,GOOD,"Plant Extracts, Antioxidants",
270,marigold,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
271,marionberry,GOOD,"Antioxidants, Plant Extracts",
272,Mastocarpus stellatus,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients",
273,mate extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
274,matricaria oil,BEST,"Antioxidants, Plant Extracts",
275,Medicago sativa,BEST,"Antioxidants, Plant Extracts",
276,Melaleuca alternifolia,GOOD,"Plant Extracts, Antioxidants",
277,Melia azadirachta extract,BEST,"Antioxidants, Plant Extracts",
278,methionine,GOOD,"Antioxidants, Skin-Replenishing",
279,methylsufonylsulfate,GOOD,Antioxidants,
280,Microcystis aeruginosa,GOOD,"Antioxidants, Texture Enhancer, Plant Extracts, Emollients",
281,milk vetch root,GOOD,"Antioxidants, Plant Extracts",
282,Morinda citrifolia,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
283,Morus alba root extract,GOOD,"Antioxidants, Plant Extracts",
284,mulberry extract,GOOD,"Plant Extracts, Antioxidants",
285,N-acetyl-L tyrosine,AVERAGE,"Antioxidants, Skin-Replenishing",
286,Nardostachys jatamansi,GOOD,"Plant Extracts, Antioxidants",
287,Nasturtium officinale extract,AVERAGE,"Antioxidants, Plant Extracts",
288,natto gum,GOOD,"Antioxidants, Plant Extracts",
289,neem extract,BEST,"Plant Extracts, Antioxidants",
290,niacinamide,BEST,"Skin-Soothing, Skin-Restoring, Antioxidants, Vitamins",
291,noni juice,GOOD,"Skin-Soothing, Plant Extracts, Antioxidants",
292,Nymphaea tetragona,BEST,"Antioxidants, Plant Extracts",
293,oak root extract,POOR,"Plant Extracts, Sensitizing, Antioxidants",
294,oat beta-glucan,BEST,"Skin-Soothing, Antioxidants",
295,oat bran extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
296,Olea europaea fruit oil,GOOD,"Antioxidants, Emollients, Plant Extracts, Skin-Replenishing",
297,Olea europaea oil unsaponifiables,BEST,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients",
298,oleanolic acid,BEST,"Skin-Soothing, Antioxidants",
299,olive oil/olive fruit oil,GOOD,"Antioxidants, Plant Extracts, Skin-Replenishing, Emollients",
300,oryzanol,GOOD,"Antioxidants, Plant Extracts",
301,oxidoreductase,BEST,Antioxidants,
302,P. elisabethae,GOOD,"Skin-Soothing, Antioxidants",
303,Padina pavonica extract,GOOD,"Antioxidants, Emollients, Plant Extracts",
304,Paeonia suffruticosa extract,AVERAGE,"Antioxidants, Plant Extracts",
305,Palmaria palmata extract,GOOD,"Antioxidants, Plant Extracts, Emollients",
306,palm oil,BEST,"Antioxidants, Skin-Replenishing, Emollients",
307,Panax ginseng root extract,BEST,"Antioxidants, Plant Extracts",
308,pansy extract,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts",
309,Passiflora edulis seed oil,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
310,Perilla ocymoides,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts",
311,Persea gratissima oil,BEST,"Antioxidants, Emollients",
312,Persicaria hydropiper,BEST,"Antioxidants, Plant Extracts, Skin-Soothing",
313,Peucedanum graveolens (dill) extract,BEST,"Antioxidants, Plant Extracts",
314,phenylalanine,GOOD,"Antioxidants, Skin-Replenishing",
315,phenylethyl resorcinol,AVERAGE,Antioxidants,
316,phloretin,BEST,"Antioxidants, Plant Extracts",
317,Phyllanthus emblica fruit extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
318,physalis angulata extract,BEST,"Antioxidants, Skin-Soothing, Plant Extracts",
319,phytic acid,GOOD,"Antioxidants, Plant Extracts",
320,pinecone extract,GOOD,Antioxidants,
321,Pinus sylvestris extract,GOOD,Antioxidants,
322,Pisum sativum,GOOD,"Antioxidants, Plant Extracts",
323,plum extract,GOOD,"Antioxidants, Plant Extracts",
324,plum seed oil,BEST,"Antioxidants, Plant Extracts, Emollients",
325,polysaccharide,BEST,"Antioxidants, Skin-Replenishing",
326,pomegranate extract,BEST,"Antioxidants, Plant Extracts",
327,Pongamia glabra seed oil,BEST,"Antioxidants, Emollients",
328,Poria cocos extract,BEST,"Skin-Soothing, Antioxidants, Plant Extracts",
329,potassium ascorbyl tocopheryl phosphate,BEST,"Antioxidants, Vitamins",
330,proline,GOOD,"Antioxidants, Skin-Replenishing",
331,propolis,GOOD,"Skin-Soothing, Antioxidants",
332,propyl gallate,BEST,Antioxidants,
333,Prunella vulgaris,AVERAGE,"Skin-Soothing, Antioxidants, Plant Extracts",
334,Prunus americana,GOOD,"Antioxidants, Plant Extracts",
335,Prunus domestica seed extract,GOOD,"Antioxidants, Plant Extracts",
336,Prunus domestica seed oil,BEST,"Antioxidants, Plant Extracts, Emollients",
337,Pseudopterogorgia elisabethae,BEST,"Skin-Soothing, Antioxidants",
338,Psidium guajava fruit extract,BEST,"Antioxidants, Plant Extracts",
339,Pueraria lobata,BEST,"Antioxidants, Plant Extracts",
340,pullulan,GOOD,"Antioxidants, Texture Enhancer",
341,pumpkin,BEST,"Antioxidants, Plant Extracts",
342,pumpkin seed extract,BEST,"Antioxidants, Skin-Replenishing, Texture Enhancer, Emollients",
343,Punica granatum extract,BEST,"Antioxidants, Plant Extracts",
344,pycnogenol,GOOD,"Antioxidants, Plant Extracts",
345,pyridoxine hydrochloride (HCL),GOOD,"Antioxidants, Vitamins",
346,quercetin,BEST,"Antioxidants, Plant Extracts",
347,rapeseed oil,BEST,"Antioxidants, Emollients, Plant Extracts",
348,raspberry seed extract,GOOD,"Antioxidants, Plant Extracts",
349,raspberry seed oil,GOOD,"Antioxidants, Plant Extracts",
350,red algae,GOOD,"Antioxidants, Texture Enhancer, Emollients, Plant Extracts",
351,red clover,GOOD,"Skin-Soothing, Antioxidants, Plant Extracts",
352,red raspberry extract,GOOD,"Antioxidants, Plant Extracts",
353,resveratrol,BEST,"Skin-Soothing, Plant Extracts, Antioxidants",
354,retinol,BEST,"Antioxidants, Vitamins, Skin-Restoring",
355,retinyl ascorbate,BEST,"Antioxidants, Vitamins",
356,retinyl palmitate,BEST,"Antioxidants, Skin-Restoring, Vitamins",
357,Rhodiola rosea root extract,BEST,Antioxidants,
358,Robinia pseudacacia extract,POOR,"Antioxidants, Plant Extracts",
359,Rosa canina,GOOD,"Antioxidants, Emollients, Plant Extracts",
360,Rosa centifolia,GOOD,"Antioxidants, Emollients, Plant Extracts",
361,Rosa centifolia flower,GOOD,"Antioxidants, Emollients, Plant Extracts",
362,Rosa eglanteria,GOOD,"Antioxidants, Emollients, Plant Extracts",
363,Rosa mosqueta,GOOD,"Antioxidants, Plant Extracts, Emollients",
364,Rosa roxburghii extract,BEST,"Antioxidants, Plant Extracts",
365,Rosa rubiginosa,GOOD,"Antioxidants, Plant Extracts, Emollients",
366,rose hip,GOOD,"Antioxidants, Plant Extracts, Emollients",
367,rose hip oil,GOOD,"Antioxidants, Plant Extracts, Emollients",
368,rosemary extract,GOOD,"Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Antioxidants",
369,rosemary oil,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
370,Rosmarinus officinalis extract,POOR,"Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",
371,Rubus idaeus,GOOD,"Antioxidants, Plant Extracts",
372,Rubus occidentalis,BEST,"Antioxidants, Plant Extracts",
373,Rubus ursinus,GOOD,"Antioxidants, Plant Extracts",
374,Rubus ursinus x idaeus,BEST,"Antioxidants, Plant Extracts",
375,Rubus villoscus,BEST,"Antioxidants, Plant Extracts",
376,rutin,BEST,"Antioxidants, Emollients",
377,Saccharomyces copper ferment,AVERAGE,Antioxidants,
378,Saccharomyces iron ferment,AVERAGE,Antioxidants,
379,Saccharomyces lysate,GOOD,Antioxidants,
380,Saccharomyces magnesium ferment,AVERAGE,Antioxidants,
381,Saccharomyces manganese ferment,AVERAGE,Antioxidants,
382,Saccharomyces potassium ferment,AVERAGE,Antioxidants,
383,saccharomyces selenium ferment,GOOD,Antioxidants,
384,Saccharomyces silicon ferment,AVERAGE,Antioxidants,
385,Saccharomyces zinc ferment,AVERAGE,Antioxidants,
386,safflower seed oil,BEST,"Antioxidants, Emollients, Plant Extracts",
387,Sambucus canadensis,GOOD,"Antioxidants, Plant Extracts",
388,Sambucus cerulea,GOOD,"Antioxidants, Plant Extracts",
389,Sambucus nigra,GOOD,"Antioxidants, Plant Extracts",
