,Ingredients,Rate,Category,Information
93,sodium hyaluronate crosspolymer,BEST,"Skin-Replenishing, Film-Forming Agents, Film-Forming/Holding Agents",
94,sodium PCA,BEST,Skin-Replenishing,
95,sphingolipids,BEST,"Skin-Restoring, Skin-Replenishing",
96,squalane,BEST,"Hydration, Antioxidants, Skin-Replenishing, Emollients",
97,squalene,BEST,"Antioxidants, Skin-Replenishing, Emollients",
98,stearates,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
99,stearic acid,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
100,sucrose,GOOD,"Skin-Replenishing, Hydration",
101,thiotaurine,GOOD,"Antioxidants, Skin-Replenishing",
102,threonine,GOOD,"Antioxidants, Skin-Replenishing",
103,tribehenin,GOOD,"Thickeners/Emulsifiers, Skin-Replenishing, Emollients",
104,trihydroxystearin,GOOD,"Thickeners/Emulsifiers, Emollients, Skin-Replenishing",
105,tryptophan,GOOD,"Antioxidants, Skin-Replenishing",
106,urea,GOOD,"Exfoliant, Hydration, Skin-Replenishing",
107,valine,GOOD,"Antioxidants, Skin-Replenishing",
108,vitamin F,BEST,"Antioxidants, Skin-Replenishing, Vitamins, Emollients, Skin-Restoring, Hydration",
109,wheat protein,GOOD,Skin-Replenishing,
